Source: MM; Sequence No, Task Type: 0,operator; DateTime: 20211123101442
UniqueSystemIdentifier|FirstName|MiddleName|LastName|DateIdentityActivated|DateIdentityCreated|DateofBirth|IDType|IDReference|IdentityStatus|IdentityType|OrganisationShortCode|OperatorNameCreatedBy|OperatorUniqueSystemIdentifierCreatedBy|OrganisationUniqueReferenceDetails|Role
203000000000010812|Treino123||Teste||20210727102736||||Pending Active|Operator|1|AkiPaga\admin1|100000001|200000000000010001|SP Administrator
203000000000011802||||20211001152454|20210930181821||||Active|Operator|1|AkiPaga\admin2|100000002|200000000000010001|SP Administrator
203000000000010221||||20210708031352|20210708031322||||Active|Operator|20210708|AkiPaga\testxwx|203000000000010003|201000000000010005|Organization Administrator Role
203000000000010505|||||20210715110057||||Active|Operator|0602|AkiPaga\10024|203000000000010104|201000000000013002|Organization Administrator Role
203000000000010307||||20210709095013|20210709064044||||Active|Operator|0511|AkiPaga\Rahul|203000000000010306|201000000000011002|Organization Administrator Role
203000000000011528|Madalena||Gonga||20210903111917||||Pending Active|Operator|1|AkiPaga\Ortiz_UAT2|203000000000011516|200000000000010001|SP Administrator
203000000000011922|||||20211028103454||||Pending Active|Operator|1|AkiPaga\shiyu|203000000000010002|200000000000010001|SP Administrator
203000000000011402|Aggregator||Top1||20210831204116||||Active|Operator|000001|AkiPaga\chenhui|203000000000010502|201000000000014001|Organization Administrator Role
203000000000011510|Bernardo||Graca||20210902115039||||Pending Active|Operator|1||203000000000010804|200000000000010001|SP Administrator
203000000000011526|Ilton||Samuel||20210903111257||||Active|Operator|0002|AkiPaga\Ilton_UAT|203000000000011505|201000000000020005|Organization Administrator Role
203000000000010823|Marice de Fatima|Jorge|da Silva|20210727111436|20210727111402||||Active|Operator|1|AkiPaga\admin1|100000001|200000000000010001|SP Administrator
704100000000000002|||||20210618175954||||Active|Operator|61000002|AkiPaga\testxwx|203000000000010003|700100000000000002|Organization Administrator Role
203000000000010313|111||222|20210712035136|20210712031449|20000101|||Active|Operator|20210708|AkiPaga\testxwx|203000000000010003|201000000000010005|Permissões Com Visualizações Basicas
203000000000010326|dd||ddd||20210712133156||||Pending Active|Operator|05011|AkiPaga\10024|203000000000010104|201000000000011013|Organization Administrator Role
203000000000010705|Telma||Ingles|20210830195819|20210721151538||||Active|Operator|1|AkiPaga\zhouchenghu|203000000000010704|200000000000010001|SP Manager
203000000000011527|Jocyna||Neto|20210903112957|20210903111715||||Active|Operator|1|AkiPaga\Ortiz_UAT2|203000000000011516|200000000000010001|SP Administrator
203000000000011918|||||20211028095257||||Pending Active|Operator|1|AkiPaga\shiyu|203000000000010002|200000000000010001|SP Administrator
203000000000010603|test2||test1|20210719161400|20210719155002||||Active|Operator|1|AkiPaga\chenhui|203000000000010502|200000000000010001|SP Administrator
203000000000011515|Andrea||Ferraz|20210902141915|20210902140818||||Active|Operator|1||203000000000010804|200000000000010001|SP Administrator
203000000000011529||||20210903142825|20210903142615||||Active|Operator|3245|AkiPaga\Stuart_UAT|203000000000011506|201000000000020013|Organization Administrator Role
203000000000010819|Joao|Carlos Coimbra|Goncalves|20210727111122|20210727110434||||Active|Operator|1|AkiPaga\admin1|100000001|200000000000010001|
704100000000000001|||||20210618175954||||Active|Operator|61000001|AkiPaga\testxwx|203000000000010003|700100000000000001|Organization Administrator Role
203000000000010315|111||222||20210712040042|20000101|||Pending Active|Operator|20210708|AkiPaga\testxwx|203000000000010003|201000000000010005|Permissões Com Visualizações Basicas
203000000000010319|ddd|ddd|ddd||20210712074333||||Active|Operator|05011|AkiPaga\10024|203000000000010104|201000000000011013|Organization Administrator Role
